entry,family,generation,params_B,release,n_obs,eci_A,eci_A_lo,eci_A_hi,eci_B,eci_B_lo,eci_B_hi,eci_C,eci_C_lo,eci_C_hi,eci_published
OLMo-2-1124-7B-Instruct [Instruct/chat],OLMo,OLMo 2,7.299,2024-12,6,114.90891074935988,105.08157389429054,120.19454477676913,116.3821138459619,108.42468094183545,120.48782557258936,115.01265648182417,107.43374007298482,119.56434908898723,
OLMo-7B-Instruct-hf [Instruct/chat],OLMo,OLMo,7.0,2024-06,6,100.4932071839576,96.25482628749644,103.96326679107445,103.61717840470183,99.05146948214787,104.54392963343807,102.99746552218737,100.26976189529226,106.56317159670385,
OLMo-7B-hf [Pretrained (PT)],OLMo,OLMo,6.888,2024-04,6,92.60256875042174,76.64641248586138,99.0221874761106,97.00601020354563,76.0393360754273,99.43619383231785,96.66952807251029,84.54416043576677,101.40702513611717,
OLMoE-1B-7B-0125-Instruct [Instruct/chat],OLMo,OLMoE,6.919,2025-01,6,111.29358849842991,97.00600482472595,117.61532646815705,113.25118551739455,101.90441300935262,118.31344057658228,112.06078204926695,102.00845634954726,118.07692735684827,
OLMoE-1B-7B-0924 [Pretrained (PT)],OLMo,OLMoE,6.919,2024-07,6,91.54186481816063,86.06807803204111,98.51314414947838,96.0732292090111,95.13409194760112,97.9245862666578,95.83816602884612,94.1387018303314,100.86899915922453,
OLMoE-1B-7B-0924-Instruct [Instruct/chat],OLMo,OLMoE,6.919,2024-08,6,105.60746373841832,98.2672696122393,110.11087419987274,108.08325988407373,100.91278250811294,110.95824590911563,107.22153573791172,101.63703370093307,110.7488057419123,
Phi-3-medium-128k-instruct [Instruct/chat],Phi,Phi-3,13.96,2024-05,6,121.293018201369,118.63056207558715,123.53597575391855,121.98316939554496,120.03534439761674,125.51352205627475,120.90304104047527,118.59553430680468,125.18598814740632,120.65
Phi-3-medium-4k-instruct [Instruct/chat],Phi,Phi-3,13.96,2024-05,6,121.6572661679106,118.40891628463031,126.24520594239668,122.36737233227966,120.6411696442854,125.72169555836584,121.3437506163392,119.21315175717909,125.98554842974171,
Phi-3-mini-128k-instruct [Instruct/chat],Phi,Phi-3,3.821,2024-04,6,117.92970456713677,115.69059740230892,120.23931914943847,118.91973457034365,118.18039351867272,120.00137184551089,117.60337561510916,116.26586598487087,119.78003436212084,
Phi-3-mini-4k-instruct [Instruct/chat],Phi,Phi-3,3.821,2024-04,6,117.41832789364655,114.31339637648654,119.36002860785328,119.60411693691923,118.45743579665707,121.27677209341026,118.3139248902843,116.67406099912317,120.92428347085134,116.63
Phi-3-small-128k-instruct [Instruct/chat],Phi,Phi-3,7.392,2024-05,6,121.17218019174142,119.038887838048,124.54812421188902,121.90990516461655,120.66888808821584,124.12495022735717,120.79265188329441,118.8167492189536,124.75368758956627,
Phi-3-small-8k-instruct [Instruct/chat],Phi,Phi-3,7.392,2024-05,6,121.1597022598178,119.20960511702708,122.97385792836661,121.86704379940069,120.37288439472303,124.38960815666366,120.79079146509368,119.04203523480294,124.62788425594242,121.24
Phi-3.5-mini-instruct [Instruct/chat],Phi,Phi-3.5,3.821,2024-08,6,119.09022511307865,116.12370453331071,120.63656215976235,119.92543352463686,119.35268230177242,120.48340884658354,118.565011420366,117.07217342708203,120.66012197515444,
