draw,entry,eci
2,Phi-3-mini-4k-instruct [Instruct/chat],114.73115213364542
2,Phi-3-small-128k-instruct [Instruct/chat],123.94983226102471
2,Phi-3-small-8k-instruct [Instruct/chat],120.66669205395716
2,Phi-3.5-mini-instruct [Instruct/chat],119.58068892814585
2,Phi-4-mini-instruct [Instruct/chat],120.59785957116007
2,Qwen-1.8B-Chat [Instruct/chat],99.47794518165455
2,Qwen-14B-Chat [Instruct/chat],109.09079577875421
2,Qwen-7B-Chat [Instruct/chat],105.90140467000944
2,Qwen1.5-0.5B-Chat [Instruct/chat],71.69886416643689
2,Qwen1.5-1.8B [Base (no official chat academic scores)],101.93839567044253
2,Qwen1.5-1.8B-Chat [Instruct/chat],91.18241220358846
2,Qwen1.5-14B [Base (no official chat academic scores)],111.25400464850016
2,Qwen1.5-14B-Chat [Instruct/chat],104.02126156091795
2,Qwen1.5-32B [Base (no official chat academic scores)],113.79823264728218
2,Qwen1.5-32B-Chat [Instruct/chat],111.97701043638938
2,Qwen1.5-4B [Base (no official chat academic scores)],107.21835080120997
2,Qwen1.5-4B-Chat [Instruct/chat],98.74770148759791
2,Qwen1.5-7B [Base (no official chat academic scores)],107.64810712444864
2,Qwen1.5-7B-Chat [Instruct/chat],99.76165636660502
2,Qwen2-0.5B-Instruct [Instruct/chat],97.3248783795302
2,Qwen2-1.5B-Instruct [Instruct/chat],108.47149324747929
2,Qwen2-7B-Instruct [Instruct/chat],117.41617619975754
2,Qwen2.5-0.5B-Instruct [Instruct/chat],102.18960693065691
2,Qwen2.5-1.5B-Instruct [Instruct/chat],115.55197866487967
2,Qwen2.5-14B-Instruct [Instruct/chat],127.6137850326667
2,Qwen2.5-32B-Instruct [Instruct/chat],130.36013598703028
2,Qwen2.5-3B-Instruct [Instruct/chat],116.73308339123007
2,Qwen2.5-7B-Instruct [Instruct/chat],123.92055183126513
2,Qwen3-0.6B [Non-thinking mode],107.18912262912036
2,Qwen3-0.6B [Thinking mode],111.91468318568889
2,Qwen3-1.7B [Non-thinking mode],118.40044222876197
2,Qwen3-1.7B [Thinking mode],124.63836988688435
2,Qwen3-14B [Non-thinking mode],129.77561709612078
2,Qwen3-14B [Thinking mode],137.43672339563557
2,Qwen3-30B-A3B [Non-thinking mode],130.11289283322074
2,Qwen3-30B-A3B [Thinking mode],137.56477668762383
2,Qwen3-30B-A3B-Instruct-2507 [Instruct (non-thinking)],135.5872838351519
2,Qwen3-30B-A3B-Thinking-2507 [Thinking],140.2890576617696
2,Qwen3-32B [Non-thinking mode],130.75797935549892
2,Qwen3-32B [Thinking mode],137.96473177129815
2,Qwen3-4B [Non-thinking mode],126.52791355116044
2,Qwen3-4B [Thinking mode],133.94693876031573
2,Qwen3-4B-Instruct-2507 [Instruct (non-thinking)],130.7886931412156
2,Qwen3-4B-Thinking-2507 [Thinking],136.66132997231
2,Qwen3-8B [Non-thinking mode],128.8805630317111
2,Qwen3-8B [Thinking mode],135.82508334963856
2,Qwen3.5-0.8B [Non-thinking rows],108.30667749630888
2,Qwen3.5-0.8B [Thinking (default)],111.68911331389714
2,Qwen3.5-27B [Thinking (default)],146.27137723296497
2,Qwen3.5-2B [Non-thinking rows],120.47292425525981
2,Qwen3.5-2B [Thinking (default)],130.1141360195098
2,Qwen3.5-35B-A3B [Thinking (default)],143.69548020278947
2,Qwen3.5-4B [Thinking (default)],140.69506122668594
2,Qwen3.5-9B [Thinking (default)],143.02636324984934
2,Qwen3.6-27B [Thinking (default)],148.36075959483975
2,Qwen3.6-35B-A3B [Thinking (default)],143.66508300873915
2,Qwen3.8-27B [Thinking (default)],153.89048358595912
2,SmolLM-1.7B [Pretrained (PT)],86.95473790345416
2,SmolLM-1.7B-Instruct [Instruct/chat],74.4327109307988
2,SmolLM-135M [Pretrained (PT)],77.81406428476225
2,SmolLM-135M-Instruct [Instruct/chat],76.81324005557384
2,SmolLM-360M [Pretrained (PT)],87.54897485023994
2,SmolLM-360M-Instruct [Instruct/chat],83.68905828267637
2,SmolLM2-1.7B [Pretrained (PT)],101.16984404669336
2,SmolLM2-1.7B-Instruct [Instruct/chat],107.05184957822763
2,SmolLM2-135M [Pretrained (PT)],84.92368566496415
2,SmolLM2-135M-Instruct [Instruct/chat],93.97983991438946
2,SmolLM2-360M [Pretrained (PT)],87.20807848613296
2,SmolLM2-360M-Instruct [Instruct/chat],94.96183446330706
2,phi-1 [Pretrained (PT)],87.42104813094056
2,phi-1_5 [Pretrained (PT)],93.03436959875064
